parent_code,kind,code,name,population,court
AC00010,municipality,ES03120,San Miguel de Salinas,6034,N
AC00010,municipality,ES03121,Santa Pola,32306,N
AC00010,municipality,ES03122,San Vicente del Raspeig/Sant Vicent del Raspeig,58385,S
AC00010,municipality,ES03123,Sax,9845,N
AC00010,municipality,ES03124,Sella,580,N
AC00010,municipality,ES03125,Senija,584,N
AC00010,municipality,ES03127,Tàrbena,646,N
AC00010,municipality,ES03128,Teulada,11112,N
AC00010,municipality,ES03129,Tibi,1614,N
AC00010,municipality,ES03130,Tollos,57,N
AC00010,municipality,ES03131,Tormos,340,N
AC00010,municipality,ES03132,la Torremanzanas/Torre de les Maçanes,661,N
AC00010,municipality,ES03133,Torrevieja,83337,S
AC00010,municipality,ES03134,la Vall d'Alcalà,167,N
AC00010,municipality,ES03135,la Vall d'Ebo,216,N
AC00010,municipality,ES03136,Vall de Gallinera,571,N
AC00010,municipality,ES03137,la Vall de Laguar,846,N
AC00010,municipality,ES03138,el Verger,4640,N
AC00010,municipality,ES03139,la Villajoyosa/Vila Joiosa,34673,S
AC00010,municipality,ES03140,Villena,33964,S
AC00010,municipality,ES03901,els Poblets,2705,N
AC00010,municipality,ES03902,Pilar de la Horadada,21905,N
AC00010,municipality,ES03903,Los Montesinos,4968,N
AC00010,municipality,ES03904,San Isidro,1986,N
AC00001,municipality,ES04001,Abla,1249,N
AC00001,municipality,ES04002,Abrucena,1202,N
AC00001,municipality,ES04003,Adra,25148,N
AC00001,municipality,ES04004,Albánchez,741,N
AC00001,municipality,ES04005,Alboloduy,616,N
AC00001,municipality,ES04006,Albox,11805,N
AC00001,municipality,ES04007,Alcolea,825,N
AC00001,municipality,ES04008,Alcóntar,505,N
AC00001,municipality,ES04009,Alcudia de Monteagud,152,N
AC00001,municipality,ES04010,Alhabia,671,N
AC00001,municipality,ES04011,Alhama de Almería,3641,N
AC00001,municipality,ES04012,Alicún,206,N
AC00001,municipality,ES04013,Almería,198533,S
AC00001,municipality,ES04014,Almócita,169,N
AC00001,municipality,ES04015,Alsodux,125,N
AC00001,municipality,ES04016,Antas,3182,N
AC00001,municipality,ES04017,Arboleas,4596,N
AC00001,municipality,ES04018,Armuña de Almanzora,302,N
AC00001,municipality,ES04019,Bacares,246,N
AC00001,municipality,ES04020,Bayárcal,317,N
AC00001,municipality,ES04021,Bayarque,215,N
AC00001,municipality,ES04022,Bédar,971,N
AC00001,municipality,ES04023,Beires,110,N
AC00001,municipality,ES04024,Benahadux,4382,N
AC00001,municipality,ES04026,Benitagla,58,N
AC00001,municipality,ES04027,Benizalón,254,N
AC00001,municipality,ES04028,Bentarique,238,N
AC00001,municipality,ES04029,Berja,12415,S
AC00001,municipality,ES04030,Canjáyar,1214,N
AC00001,municipality,ES04031,Cantoria,3204,N
AC00001,municipality,ES04032,Carboneras,8004,N
AC00001,municipality,ES04033,Castro de Filabres,123,N
AC00001,municipality,ES04034,Cóbdar,171,N
AC00001,municipality,ES04035,Cuevas del Almanzora,14081,N
AC00001,municipality,ES04036,Chercos,278,N
AC00001,municipality,ES04037,Chirivel,1472,N
AC00001,municipality,ES04038,Dalías,4006,N
AC00001,municipality,ES04041,Enix,466,N
AC00001,municipality,ES04043,Felix,628,N
AC00001,municipality,ES04044,Fines,2079,N
AC00001,municipality,ES04045,Fiñana,1994,N
AC00001,municipality,ES04046,Fondón,989,N
AC00001,municipality,ES04047,Gádor,3012,N
AC00001,municipality,ES04048,Los Gallardos,2794,N
AC00001,municipality,ES04049,Garrucha,9212,N
AC00001,municipality,ES04050,Gérgal,1030,N
AC00001,municipality,ES04051,Huécija,480,N
AC00001,municipality,ES04052,Huércal de Almería,17651,N
AC00001,municipality,ES04053,Huércal-Overa,19127,S
AC00001,municipality,ES04054,Illar,394,N
AC00001,municipality,ES04055,Instinción,448,N
AC00001,municipality,ES04056,Laroya,192,N
AC00001,municipality,ES04057,Láujar de Andarax,1536,N
AC00001,municipality,ES04058,Líjar,390,N
AC00001,municipality,ES04059,Lubrín,1477,N
AC00001,municipality,ES04060,Lucainena de las Torres,538,N
AC00001,municipality,ES04061,Lúcar,763,N
AC00001,municipality,ES04062,Macael,5482,N
AC00001,municipality,ES04063,María,1238,N
AC00001,municipality,ES04064,Mojácar,6403,N
AC00001,municipality,ES04065,Nacimiento,495,N
AC00001,municipality,ES04066,Níjar,30663,N
AC00001,municipality,ES04067,Ohanes,580,N
AC00001,municipality,ES04068,Olula de Castro,196,N
AC00001,municipality,ES04069,Olula del Río,6210,N
AC00001,municipality,ES04070,Oria,2249,N
AC00001,municipality,ES04071,Padules,410,N
AC00001,municipality,ES04072,Partaloa,1110,N
AC00001,municipality,ES04073,Paterna del Río,371,N
AC00001,municipality,ES04074,Pechina,4037,N
AC00001,municipality,ES04075,Pulpí,10055,N
AC00001,municipality,ES04076,Purchena,1618,S
AC00001,municipality,ES04077,Rágol,316,N
AC00001,municipality,ES04078,Rioja,1417,N
AC00001,municipality,ES04079,Roquetas de Mar,96800,S
AC00001,municipality,ES04080,Santa Cruz de Marchena,208,N
AC00001,municipality,ES04081,Santa Fe de Mondújar,452,N
AC00001,municipality,ES04082,Senés,295,N
AC00001,municipality,ES04083,Serón,2041,N
AC00001,municipality,ES04084,Sierro,381,N
AC00001,municipality,ES04085,Somontín,446,N
AC00001,municipality,ES04086,Sorbas,2388,N
AC00001,municipality,ES04087,Suflí,204,N
AC00001,municipality,ES04088,Tabernas,3688,N
AC00001,municipality,ES04089,Taberno,925,N
AC00001,municipality,ES04090,Tahal,362,N
AC00001,municipality,ES04091,Terque,377,N
AC00001,municipality,ES04092,Tíjola,3541,N
AC00001,municipality,ES04093,Turre,3549,N
AC00001,municipality,ES04094,Turrillas,240,N
AC00001,municipality,ES04095,Uleila del Campo,833,N
AC00001,municipality,ES04096,Urrácal,350,N
AC00001,municipality,ES04097,Velefique,242,N
AC00001,municipality,ES04098,Vélez-Blanco,1904,N
AC00001,municipality,ES04099,Vélez-Rubio,6555,S
AC00001,municipality,ES04100,Vera,16452,S
AC00001,municipality,ES04101,Viator,5885,N
AC00001,municipality,ES04102,Vícar,26028,N
AC00001,municipality,ES04103,Zurgena,3005,N
AC00001,municipality,ES04901,Las Tres Villas,568,N
AC00001,municipality,ES04902,El Ejido,83594,S
AC00001,municipality,ES04903,La Mojonera,9021,N
AC00007,municipality,ES05001,Adanero,196,N
AC00007,municipality,ES05002,La Adrada,2480,N
AC00007,municipality,ES05005,Albornos,183,N
AC00007,municipality,ES05007,Aldeanueva de Santa Cruz,118,N
AC00007,municipality,ES05008,Aldeaseca,238,N
AC00007,municipality,ES05010,La Aldehuela,162,N
AC00007,municipality,ES05012,Amavida,132,N
AC00007,municipality,ES05013,El Arenal,973,N
AC00007,municipality,ES05014,Arenas de San Pedro,6377,S
AC00007,municipality,ES05015,Arevalillo,73,N
AC00007,municipality,ES05016,Arévalo,7986,S
AC00007,municipality,ES05017,Aveinte,86,N
AC00007,municipality,ES05018,Avellaneda,24,N
AC00007,municipality,ES05019,Ávila,57744,S
AC00007,municipality,ES05021,El Barco de Ávila,2312,N
AC00007,municipality,ES05022,El Barraco,1861,N
AC00007,municipality,ES05023,Barromán,185,N
AC00007,municipality,ES05024,Becedas,196,N
AC00007,municipality,ES05025,Becedillas,84,N
AC00007,municipality,ES05026,Bercial de Zapardiel,200,N
AC00007,municipality,ES05027,Las Berlanas,319,N
AC00007,municipality,ES05029,Bernuy-Zapardiel,102,N
AC00007,municipality,ES05030,Berrocalejo de Aragona,46,N
AC00007,municipality,ES05033,Blascomillán,193,N
AC00007,municipality,ES05034,Blasconuño de Matacabras,16,N
AC00007,municipality,ES05035,Blascosancho,105,N
AC00007,municipality,ES05036,El Bohodón,120,N
AC00007,municipality,ES05037,Bohoyo,237,N
AC00007,municipality,ES05038,Bonilla de la Sierra,120,N
AC00007,municipality,ES05039,Brabos,46,N
AC00007,municipality,ES05040,Bularros,66,N
AC00007,municipality,ES05041,Burgohondo,1195,N
AC00007,municipality,ES05042,Cabezas de Alambre,157,N
AC00007,municipality,ES05043,Cabezas del Pozo,75,N
AC00007,municipality,ES05044,Cabezas del Villar,260,N
AC00007,municipality,ES05045,Cabizuela,84,N
AC00007,municipality,ES05046,Canales,45,N
AC00007,municipality,ES05047,Candeleda,5018,N
AC00007,municipality,ES05048,Cantiveros,103,N
AC00007,municipality,ES05049,Cardeñosa,447,N
AC00007,municipality,ES05051,La Carrera,175,N
AC00007,municipality,ES05052,Casas del Puerto,89,N
AC00007,municipality,ES05053,Casasola,75,N
AC00007,municipality,ES05054,Casavieja,1424,N
AC00007,municipality,ES05055,Casillas,638,N
AC00007,municipality,ES05056,Castellanos de Zapardiel,97,N
AC00007,municipality,ES05057,Cebreros,3120,N
AC00007,municipality,ES05058,Cepeda la Mora,74,N
AC00007,municipality,ES05059,Cillán,93,N
AC00007,municipality,ES05060,Cisla,102,N
AC00007,municipality,ES05061,La Colilla,336,N
AC00007,municipality,ES05062,Collado de Contreras,168,N
AC00007,municipality,ES05063,Collado del Mirón,32,N
AC00007,municipality,ES05064,Constanzana,108,N
AC00007,municipality,ES05065,Crespos,495,N
AC00007,municipality,ES05066,Cuevas del Valle,484,N
AC00007,municipality,ES05067,Chamartín,76,N
AC00007,municipality,ES05069,Donjimeno,78,N
AC00007,municipality,ES05070,Donvidas,34,N
AC00007,municipality,ES05072,Espinosa de los Caballeros,114,N
AC00007,municipality,ES05073,Flores de Ávila,306,N
AC00007,municipality,ES05074,Fontiveros,748,N
AC00007,municipality,ES05075,Fresnedilla,116,N
AC00007,municipality,ES05076,El Fresno,589,N
AC00007,municipality,ES05077,Fuente el Saúz,170,N
AC00007,municipality,ES05078,Fuentes de Año,100,N
AC00007,municipality,ES05079,Gallegos de Altamiros,70,N
AC00007,municipality,ES05080,Gallegos de Sobrinos,42,N
AC00007,municipality,ES05081,Garganta del Villar,39,N
AC00007,municipality,ES05082,Gavilanes,586,N
AC00007,municipality,ES05083,Gemuño,156,N
AC00007,municipality,ES05084,Gilbuena,64,N
AC00007,municipality,ES05085,Gil García,35,N
AC00007,municipality,ES05086,Gimialcón,75,N
AC00007,municipality,ES05087,Gotarrendura,162,N
AC00007,municipality,ES05088,Grandes y San Martín,27,N
AC00007,municipality,ES05089,Guisando,497,N
AC00007,municipality,ES05090,Gutierre-Muñoz,78,N
AC00007,municipality,ES05092,Hernansancho,159,N
AC00007,municipality,ES05093,Herradón de Pinares,413,N
AC00007,municipality,ES05094,Herreros de Suso,126,N
AC00007,municipality,ES05095,Higuera de las Dueñas,262,N
AC00007,municipality,ES05096,La Hija de Dios,80,N
AC00007,municipality,ES05097,La Horcajada,508,N
AC00007,municipality,ES05099,Horcajo de las Torres,505,N
AC00007,municipality,ES05100,El Hornillo,290,N
AC00007,municipality,ES05101,Hoyocasero,293,N
AC00007,municipality,ES05102,El Hoyo de Pinares,2131,N
AC00007,municipality,ES05103,Hoyorredondo,63,N
AC00007,municipality,ES05104,Hoyos del Collado,33,N
AC00007,municipality,ES05105,Hoyos del Espino,383,N
AC00007,municipality,ES05106,Hoyos de Miguel Muñoz,28,N
AC00007,municipality,ES05107,Hurtumpascual,51,N
AC00007,municipality,ES05108,Junciana,38,N
AC00007,municipality,ES05109,Langa,478,N
AC00007,municipality,ES05110,Lanzahíta,828,N
AC00007,municipality,ES05112,El Losar del Barco,105,N
AC00007,municipality,ES05113,Los Llanos de Tormes,60,N
AC00007,municipality,ES05114,Madrigal de las Altas Torres,1415,N
AC00007,municipality,ES05115,Maello,594,N
AC00007,municipality,ES05116,Malpartida de Corneja,99,N
AC00007,municipality,ES05117,Mamblas,204,N
AC00007,municipality,ES05118,Mancera de Arriba,74,N
AC00007,municipality,ES05119,Manjabálago,24,N
AC00007,municipality,ES05120,Marlín,30,N
AC00007,municipality,ES05121,Martiherrero,312,N
AC00007,municipality,ES05122,Martínez,116,N
AC00007,municipality,ES05123,Mediana de Voltoya,112,N
AC00007,municipality,ES05124,Medinilla,95,N
AC00007,municipality,ES05125,Mengamuñoz,59,N
AC00007,municipality,ES05126,Mesegar de Corneja,62,N
AC00007,municipality,ES05127,Mijares,701,N
AC00007,municipality,ES05128,Mingorría,387,N
AC00007,municipality,ES05129,El Mirón,122,N
AC00007,municipality,ES05130,Mironcillo,102,N
AC00007,municipality,ES05131,Mirueña de los Infanzones,95,N
AC00007,municipality,ES05132,Mombeltrán,991,N
AC00007,municipality,ES05133,Monsalupe,71,N
AC00007,municipality,ES05134,Moraleja de Matacabras,52,N
AC00007,municipality,ES05135,Muñana,375,N
AC00007,municipality,ES05136,Muñico,89,N
AC00007,municipality,ES05138,Muñogalindo,326,N
AC00007,municipality,ES05139,Muñogrande,66,N
AC00007,municipality,ES05140,Muñomer del Peco,118,N
AC00007,municipality,ES05141,Muñopepe,100,N
AC00007,municipality,ES05142,Muñosancho,92,N
AC00007,municipality,ES05143,Muñotello,62,N
AC00007,municipality,ES05144,Narrillos del Álamo,72,N
AC00007,municipality,ES05145,Narrillos del Rebollar,48,N
AC00007,municipality,ES05147,Narros del Castillo,155,N
AC00007,municipality,ES05148,Narros del Puerto,24,N
AC00007,municipality,ES05149,Narros de Saldueña,103,N
AC00007,municipality,ES05151,Navacepedilla de Corneja,92,N
AC00007,municipality,ES05152,Nava de Arévalo,735,N
AC00007,municipality,ES05153,Nava del Barco,84,N
AC00007,municipality,ES05154,Navadijos,37,N
AC00007,municipality,ES05155,Navaescurial,51,N
AC00007,municipality,ES05156,Navahondilla,304,N
AC00007,municipality,ES05157,Navalacruz,247,N
AC00007,municipality,ES05158,Navalmoral,326,N
AC00007,municipality,ES05159,Navalonguilla,226,N
AC00007,municipality,ES05160,Navalosa,308,N
AC00007,municipality,ES05161,Navalperal de Pinares,770,N
AC00007,municipality,ES05162,Navalperal de Tormes,82,N
AC00007,municipality,ES05163,Navaluenga,1954,N
AC00007,municipality,ES05164,Navaquesera,16,N
AC00007,municipality,ES05165,Navarredonda de Gredos,434,N
AC00007,municipality,ES05166,Navarredondilla,172,N
AC00007,municipality,ES05167,Navarrevisca,261,N
AC00007,municipality,ES05168,Las Navas del Marqués,5119,N
AC00007,municipality,ES05169,Navatalgordo,233,N
AC00007,municipality,ES05170,Navatejares,55,N
AC00007,municipality,ES05171,Neila de San Miguel,65,N
AC00007,municipality,ES05172,Niharra,180,N
AC00007,municipality,ES05173,Ojos-Albos,82,N
AC00007,municipality,ES05174,Orbita,75,N
AC00007,municipality,ES05175,El Oso,160,N
