Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
29/06/2020,San Pedro,Kepa Deuna,Sopelana  ,Sopelana  ,Bizkaia,85,43,378918,-2,983002,
08/09/2020,Natividad de Nuestra Señora,Andra Mari eguna,Sopuerta  ,Sopuerta  ,Bizkaia,86,43,262778,-3,152500,
30/11/2020,San Andrés  ,San Andres  ,Sukarrieta  ,Sukarrieta  ,Bizkaia,76,43,395342,-2,696367,
29/06/2020,San Pedro,San Pedro,Trucios-Turtzioz  ,Trucios-Turtzioz  ,Bizkaia,87,43,272678,-3,288545,
24/06/2020,San Juan,San Juan eguna,Ubide  ,Ubide  ,Bizkaia,88,43,26832,-2,688209,
08/09/2020,Nuestra Señora de Udiarraga  ,Udiarragako Andra Mari,Ugao-Miraballes  ,Ugao-Miraballes  ,Bizkaia,65,43,179989,-2,902508,
08/09/2020,Andra Mari,Andra Mari eguna,Urduliz  ,Urduliz  ,Bizkaia,89,43,379667,-2,962000,
08/05/2020,Otxomaio  ,Otxomaio  ,Urduña-Orduña  ,Urduña-Orduña  ,Bizkaia,74,42,994449,-3,9622,
06/08/2020,Transfiguración del Señor,Jaunaren itxuraldatzea,Valle de Trápaga-Trapagaran  ,Valle de Trápaga-Trapagaran  ,Bizkaia,80,43,303108,-3,35548,
03/07/2020,Fiesta local,Tokiko jaieguna,Zaldibar  ,Zaldibar  ,Bizkaia,95,43,170970,-2,547130,
05/10/2020,Fiesta local,Tokiko jaieguna,Zalla  ,Zalla  ,Bizkaia,96,43,214009,-3,135223,
11/11/2020,San Martín,San Martin,Zamudio  ,Zamudio  ,Bizkaia,905,43,283333,-2,866667,
10/08/2020,San Lorenzo  ,Lorentzo Deuna ,Zaratamo  ,Zaratamo  ,Bizkaia,97,43,211505,-2,873626,
15/05/2020,San Isidro,San Isidro,Zeanuri  ,Zeanuri  ,Bizkaia,24,43,99664,-2,749615,
